,words,count
456,part,181
457,beat,181
458,power,181
459,companies,180
460,deals,180
461,iraq,179
462,nancy,179
463,shows,179
464,texas,179
465,act,179
466,champion,178
467,paid,178
468,cuts,177
469,highly,177
470,name,177
471,statement,176
472,makes,176
473,bernie,176
474,politics,176
475,sign,175
476,cut,175
477,public,175
478,fighting,174
479,voting,174
480,healthcare,174
481,doral,173
482,twitter,173
483,small,173
484,chance,172
485,tariffs,172
486,decision,171
487,stock,169
488,race,169
489,ted,168
490,fair,168
491,less,167
492,pennsylvania,167
493,stupid,167
494,service,166
495,free,166
496,speak,166
497,club,166
498,move,165
499,celebrityapprentice,165
500,lives,165
501,heading,165
502,pelosi,164
503,mess,164
504,that’s,164
505,leaving,164
506,buy,163
507,highest,163
508,nyc,163
509,problems,163
510,syria,163
511,congrats,163
512,control,162
513,hell,162
514,hate,162
515,plan,162
516,southern,161
517,men,161
518,ask,161
519,winner,160
520,sunday,160
521,rt,159
522,politicians,159
523,wish,159
524,foreign,159
525,ive,159
526,mark,159
527,released,159
528,wind,158
529,along,158
530,took,158
531,nobody,157
532,star,157
533,barackobamas,156
534,hampshire,156
535,megynkelly,156
536,virginia,156
537,rubio,156
538,system,155
539,longer,155
540,set,154
541,video,154
542,conference,154
543,“,154
544,immediately,154
545,welcome,153
546,early,153
547,past,153
548,playing,153
549,able,153
550,check,153
551,international,152
552,israel,152
553,fun,152
554,families,152
555,easy,151
556,thousands,151
557,possible,151
558,congressman,151
559,gone,151
560,giving,150
561,loved,150
562,started,150
563,california,150
564,monday,149
565,event,149
566,absolutely,149
567,came,148
568,spent,148
569,primary,148
570,west,148
571,lies,147
572,prices,147
573,votes,147
574,built,147
575,mind,146
576,schiff,146
577,watched,146
578,large,146
579,“donald,145
580,try,145
581,speaking,145
582,perhaps,145
583,rate,144
584,obamas,144
585,asked,143
586,wanted,143
587,taken,143
588,billions,143
589,knew,143
590,j,142
591,thinking,142
592,comey,141
593,veterans,141
594,nuclear,141
595,favorite,141
596,choice,140
597,fully,140
598,oreillyfactor,140
599,november,140
600,farmers,139
601,laws,139
602,correct,139
603,action,139
604,wonder,139
605,minister,138
606,i’m,138
607,interest,138
608,learn,138
609,beginning,138
610,angry,138
611,false,137
612,ties,137
613,horrible,137
614,losers,137
615,evening,137
616,killed,136
617,information,136
618,voted,135
619,david,135
620,stated,135
621,russian,135
622,trumps,135
623,“trump,135
624,happened,135
625,fan,134
626,melania,134
627,matter,134
628,approval,134
629,class,134
630,enforcement,134
631,visit,134
632,james,133
633,meet,133
634,prime,132
635,policy,132
636,police,132
637,thoughts,132
638,loser,132
639,global,132
640,michael,132
641,young,131
642,weekend,131
643,tuesday,131
644,stories,131
645,reporting,131
646,turn,131
647,follow,131
648,respected,131
649,ridiculous,130
650,force,130
651,maybe,130
652,workers,130
653,lose,130
654,vegas,129
655,forget,129
656,level,129
657,quickly,128
658,results,128
659,fire,127
660,least,127
661,losing,127
662,greta,127
663,starting,127
664,scam,126
665,chris,126
666,sleepy,126
667,seeing,126
668,supreme,126
669,dumb,126
670,needed,126
671,secretary,126
672,wife,125
673,cost,125
674,potus,125
675,months,125
676,continues,125
677,late,125
678,whitehouse,125
679,sir,125
680,unfair,125
681,killing,125
682,ny,125
683,based,124
684,he’s,124
685,spoke,124
686,haters,124
687,saw,124
688,chuck,124
689,especially,124
690,understand,123
691,heard,123
692,isnt,123
693,won’t,123
694,supporters,122
695,feel,122
696,rigged,122
697,whole,122
698,announced,122
699,bless,122
700,dangerous,122
701,former,122
702,id,121
703,trumpdoral,121
704,lie,120
705,saturday,120
706,word,120
707,comes,119
708,fraud,119
709,investigation,119
710,release,119
711,instead,118
712,allow,118
713,convention,117
714,create,117
715,caught,117
716,happening,117
717,asking,117
718,romney,116
719,canada,116
720,terrific,116
721,timetogettough,116
722,bigger,116
723,everybody,116
724,entire,116
725,voters,116
726,nations,115
727,growth,115
728,played,115
729,candidates,115
730,air,115
731,idea,115
732,wisconsin,115
733,chinese,114
734,pres,114
735,tom,114
736,using,114
737,higher,113
738,michigan,113
739,questions,113
740,waste,113
741,tune,113
742,excited,113
743,face,113
744,hopefully,113
745,dead,112
746,warming,112
747,send,112
748,rather,112
749,paying,112
750,huge,112
751,budget,112
752,term,111
753,credit,111
754,r,111
755,destroy,111
756,enemy,111
757,sense,111
758,agenda,111
759,signed,111
760,probably,111
761,gas,111
762,etc,111
763,exciting,111
764,erictrump,111
765,sorry,111
766,middle,110
767,robert,110
768,question,110
769,wins,110
770,drug,110
771,stronger,110
772,lightweight,109
773,listen,109
774,except,109
775,touch,109
776,mistake,109
777,mayor,108
778,lots,108
779,abc,107
780,march,107
781,biden,107
782,boring,107
783,safety,107
784,negative,106
785,positive,106
786,charity,106
787,ukraine,106
788,bob,106
789,tweets,106
790,price,106
791,announce,106
792,worth,105
793,children,105
794,las,105
795,records,105
796,freedom,105
797,leave,105
798,final,105
799,though,105
800,answer,104
801,fed,104
802,television,104
803,intelligence,104
804,worked,104
805,weeks,104
806,mitt,104
807,center,103
808,brought,103
809,ahead,103
810,joke,103
811,rating,103
812,tweet,102
813,elected,102
814,dollar,102
815,defense,102
816,kind,102
817,pathetic,101
818,reagan,101
819,policies,101
820,three,101
821,dnc,101
822,pass,101
823,glad,101
824,emails,101
825,arizona,101
826,steve,101
827,reading,101
828,george,101
829,four,100
830,incompetent,99
831,article,99
832,death,99
833,met,99
834,paul,98
835,increase,98
836,situation,98
837,easily,98
838,blue,98
839,moving,98
840,potential,97
841,raise,97
842,son,97
843,lowest,97
844,presidency,97
845,treated,97
846,brand,97
847,means,97
848,strongly,97
849,members,97
850,nfl,97
851,adam,97
852,ebola,96
853,drugs,96
854,side,96
855,honored,96
856,obama’s,96
857,across,95
858,turbines,95
859,school,95
860,company,95
861,leading,95
862,obstruction,95
863,street,95
864,todays,95
865,process,95
866,minutes,95
867,facts,95
868,lower,94
869,head,94
870,putin,94
871,trumpchicago,94
872,alexsalmond,94
873,perfect,94
874,tickets,94
875,waiting,94
876,alabama,94
877,advice,94
878,magazine,94
879,progress,94
880,lawyer,93
881,sanders,93
882,poor,93
883,woman,93
884,reform,93
885,talent,93
886,takes,93
887,thx,93
888,rest,93
889,standing,93
890,goes,93
891,yankees,93
892,trumpvlog,93
893,helping,93
894,gretawire,93
895,list,92
896,christmas,92
897,kim,92
898,ran,92
899,line,92
900,staff,92
901,vp,91
902,hours,91
903,either,91
904,points,91
905,friday,91
906,super,90
907,newsmaxmedia,90
908,behind,90
909,forced,90
910,gives,90
911,businesses,90
912,hearing,90
913,donaldjtrumpjr,90
914,agreed,90
915,failure,90
916,episode,90
917,putting,90
918,historic,90
919,politician,90
920,sadly,89
921,beach,89
922,eric,89
923,japan,89
924,andrew,89
925,nevada,89
926,disgrace,88
927,talks,88
928,turned,88
929,reported,88
930,brave,88
931,schumer,88
932,whats,88
933,prayers,87
934,committee,87
935,powerful,87
936,dinner,87
937,food,87
938,repeal,87
939,legal,87
940,billmaher,87
941,judge,87
942,ads,87
943,strength,86
944,brilliant,86
945,miami,86
946,department,86
947,turnberry,86
948,page,86
949,universe,86
950,laughing,86
951,confidence,86
952,group,85
953,passed,85
954,criminal,85
955,illegally,85
956,links,85
957,youve,85
958,doubt,85
959,jeff,85
960,calling,85
961,marco,85
962,surprise,85
963,hits,85
964,bought,85
965,ag,85
966,found,85
967,plans,85
968,different,85
969,bringing,84
970,letterman,84
971,east,84
972,due,84
973,apologize,84
974,college,84
975,plus,84
976,calls,84
977,relationship,84
978,excellent,84
979,dream,84
980,serious,83
981,university,83
982,message,83
983,hurt,83
984,short,83
985,carson,83
986,breitbartnews,83
987,rich,82
988,view,82
989,room,82
990,views,82
991,reality,82
992,issue,82
993,wh,82
994,biased,82
995,georgia,82
996,meetings,82
997,movement,82
998,piersmorgan,82
999,honest,82
1000,named,82
1001,lied,82
1002,opportunity,81
1003,scott,81
1004,pageant,81
1005,hall,81
1006,mean,81
1007,demand,81
1008,dopey,81
1009,created,81
1010,announcement,81
1011,americas,81
1012,runs,81
1013,spend,80
1014,heart,80
1015,social,80
1016,afraid,80
1017,liberal,80
1018,whistleblower,80
1019,missed,80
1020,award,80
1021,ad,80
1022,let’s,80
1023,jebbush,80
1024,experience,80
1025,ice,80
1026,socalled,80
1027,hurricane,80
1028,host,79
1029,written,79
1030,month,79
1031,anyway,79
1032,health,79
1033,sick,79
1034,mention,79
1035,greatly,79
1036,phone,79
1037,attorney,79
1038,coronavirus,79
1039,“i,78
1040,crisis,78
1041,isn’t,78
1042,bei,78
1043,credibility,78
1044,businessman,78
1045,often,78
1046,trumpforpresident,78
1047,sources,78
1048,response,78
1049,looked,78
1050,signing,77
1051,website,77
1052,third,77
1053,opening,77
1054,cover,77
1055,hero,77
1056,nato,77
1057,oh,77
1058,anymore,77
1059,hand,77
1060,decades,77
1061,et,77
1062,trillion,77
1063,comments,76
1064,works,76
1065,daca,76
1066,evidence,76
1067,fine,76
1068,cast,76
